,Station,Code
0,Ajara,AZA
1,Ajarka,AIA
2,Ajgain,AJ
3,Ajhai,AJH
4,Ajharail,AHL
5,Ajit,AJIT
6,Ajit Gill Matta H,AJTM
7,Ajit Kheri,AJKI
8,Ajit Kheri,AJKT
9,Ajitwal,AJL
10,Ajjampur,AJP
11,Ajmer Jn,AII
12,Ajni (Nagpur),AJNI
13,Ajnod,AJN
14,Ajwa,AJWA
15,Akaipur H,AKIP
16,Akalkot Road,AKOR
17,Akaltara,AKT
18,Akanapet,AKE
19,Akashi P H,AKZ
20,Akathumuri H,AMY
21,Akbar Ganj,AKJ
22,Akbarnagar,AKN
23,Akbarpur Jn,ABP
24,Akelahanspur Halt,ALNP
25,Akividu,AKVD
26,Akividu,AKVX
27,Akkampet,AKAT
28,Akkaraipatti,API
29,Akkihebbalu,AKK
30,Akkunti,AKY
31,Akluj O.A.,AKLJ
32,Akodia,AKD
33,Akola Jn,AK
34,Akolner,AKR
35,Akona,AKW
36,Akot,AKOT
37,Akra,AKRA
38,Akshaywat Rai Nagar,AYRN
39,Akshaywat Rainagar,AYRM
40,Akurdi,AKRD
41,Alachor,AEE
42,Alai,ALAI
43,Alai,ALI
44,Alakkudi,ALK
45,Alal,ALAL
46,Alal,ALL
47,Alam Nagar,AMG
48,Alamanda,ALM
49,Alambagh Lucknow,AMV
50,Alamganj,ALMG
51,Alampur,ALMR
52,Alampur Road,ALPR
53,Alanavar Jn,LWR
54,Alandi,ALN
55,Alapadu,AAU
56,Alapakam,ALP
57,Alattambadi,ATB
58,Alau,ALAU
59,Alawal Pur,AWL
60,Alawalpur Idrispur,AIH
61,Alehpur Halt,APRH
62,Aler,ALER
63,Alewahi,AWH
64,Algapur,ALGP
65,Aliganj,ALJ
66,Aligarh Jn,ALJN
67,Alinagar Tola,ATX
68,Alindra Road,AIR
69,Alipur Duar,APD
70,Alipur Duar Court,APDC
71,Alipur Duar Jn,APDJ
72,Alirajpur,ARPR
73,Aliyabad Road H,AYB
74,Aliyawada,ALB
75,Allahabad City,ALY
76,Allahabad Jn,ALD
77,Allahabd Chheoki,ACOI
78,Alleppey,ALLP
79,Alluru Road,AXR
80,Almatti,LMT
81,Almaw H,ALMW
82,Alniya,ALNI
83,Altagram,ATM
84,Aluabari Road,AUB
85,Alur,ALUR
86,Aluva (Alwaye),AWY
87,Alwal Halt,ALW
88,Alwar Jn,AWR
89,Alwar Tirunagari,AWT
90,Amagura,AGZ
91,Amala Nagar,AMLR
92,Amalner,AN
93,Amalpur,AMLP
94,Amalsad,AML
95,Aman Lodge,X108
96,Aman Lodge,AMAN
97,Aman Vadi,AMW
98,Amar Saheed Jagdeo Prasad H,ASJP
99,Amaravathi Colony,AVC
100,Amaraviia,AMVA
