,T_Num,Train,From,To,Days,Mon,Tue,Wed,Thurs,Fri,Sat,Sun
14,12060,KOTA JANSHTABDI,Hazrat Nizamuddin,Kota Jn,Daily,1,1,1,1,1,1,1
15,12023,JANSHATABDI EXP,Howrah Jn,Patna Jn,Except Sun,1,1,1,1,1,1,0
16,12073,BBS JANSHATABDI,Howrah Jn,Bhubaneswar,Daily,1,1,1,1,1,1,1
17,12080,JANSHATABDI EXP,Hubballi Jn,Ksr Bengaluru,Daily,1,1,1,1,1,1,1
18,12062,RKMP JANSHTBDI,Jabalpur,Rani Kamlapati(Bhopal),Daily,1,1,1,1,1,1,1
19,12072,JAN SHATABDI,Jalna,C Shivaji Maharaj T,Daily,1,1,1,1,1,1,1
20,12098,JRBM AGTL JANSHT,Jiribam,Agartala,M W F,1,0,1,0,1,0,0
21,12081,TVC JANSHATABDI,Kannur (Cannanore),Thiruvananthapuram Central,M Tu Th F Sa,1,1,0,1,1,1,0
22,12092,NAINI DOON JAN,Kathgodam,Dehradun,Tu W F Sa Su,0,1,1,0,1,1,1
23,12059,NZM JAN SHATABDI,Kota Jn,Hazrat Nizamuddin,Daily,1,1,1,1,1,1,1
24,12075,TVC JANSHATABDI,Kozhikkode (Calicut),Thiruvananthapuram Central,Daily,1,1,1,1,1,1,1
25,12079,JANSHATABDI EXP,Ksr Bengaluru,Hubballi Jn,Daily,1,1,1,1,1,1,1
26,12052,CSMT JANSHTABDI,Madgaon,C Shivaji Maharaj T,Daily,1,1,1,1,1,1,1
27,12083,CBE JANSHATABDI,Mayiladuturai Jn,Coimbatore Jn,Except Tue,1,0,1,1,1,1,1
28,12077,BZA JANSHATABDI,Mgr Chennai Ctr,Vijayawada Jn,Except Tue,1,0,1,1,1,1,1
29,12055,DDN JANSHTBDI,New Delhi,Dehradun,Daily,1,1,1,1,1,1,1
30,12057,UHL JANSHATABDI,New Delhi,Una Himachal,Daily,1,1,1,1,1,1,1
31,12024,JANSHATABDI EXP,Patna Jn,Howrah Jn,Except Sun,1,1,1,1,1,1,0
32,15126,JANSHATABDI EXP,Patna Jn,Banaras,Daily,1,1,1,1,1,1,1
33,12069,JANSHATABDI EXP,Raigarh,Gondia Jn,Except Sun,1,1,1,1,1,1,0
34,12061,JBP JANSHATABDI,Rani Kamlapati(Bhopal),Jabalpur,Daily,1,1,1,1,1,1,1
35,12090,JANSHATABDI EXP,Shivamogga Town,Ksr Bengaluru,Daily,1,1,1,1,1,1,1
36,12076,CLT JANSHATABDI,Thiruvananthapuram Central,Kozhikkode (Calicut),Daily,1,1,1,1,1,1,1
37,12082,CAN JANSHATABDI,Thiruvananthapuram Central,Kannur (Cannanore),M W Th F Su,1,0,1,1,1,0,1
38,12058,NDLS JANSHTBADI,Una Himachal,New Delhi,Daily,1,1,1,1,1,1,1
39,12078,JAN SHATABDI,Vijayawada Jn,Mgr Chennai Ctr,Except Tue,1,0,1,1,1,1,1
0,82902,IRCTC TEJAS EXP,Ahmedabad Jn,Mumbai Central,Except Thu,1,1,1,0,1,1,1
1,82356,CSMT PNBE SPL,C Shivaji Maharaj T,Patna Jn,Tu F,0,1,0,0,1,0,0
2,82654,YPR SUVIDHA EXP,Jaipur,Yasvantpur Jn,Sa,0,0,0,0,0,1,0
3,82501,IRCTC TEJAS EXP,Lucknow Ne,New Delhi,Except Tue,1,0,1,1,1,1,1
4,82901,IRCTC TEJAS EXP,Mumbai Central,Ahmedabad Jn,Except Thu,1,1,1,0,1,1,1
5,82606,NCJ TBM SUVIDHA,Nagarcoil Jn,Tambaram,Su,0,0,0,0,0,0,1
6,82502,IRCTC TEJAS EXP,New Delhi,Lucknow Ne,Except Tue,1,0,1,1,1,1,1
7,82355,PNBE CSMT SPL,Patna Jn,C Shivaji Maharaj T,W Su,0,0,1,0,0,0,1
8,82605,TBM NCJ SUVIDHA,Tambaram,Nagarcoil Jn,F,0,0,0,0,1,0,0
9,82604,TBM SUVIDHA,Tirunelveli,Tambaram,Su,0,0,0,0,0,0,1
10,82653,JP SUVIDHA EXP,Yasvantpur Jn,Jaipur,Th,0,0,0,1,0,0,0
0,12504,HUMSAFAR EXP,Agartala,Bangalore Cant,Sa,0,0,0,0,0,1,0
1,22920,ADI MAS HUMSAFA,Ahmedabad Jn,Mgr Chennai Ctr,M,1,0,0,0,0,0,0
2,20973,RMM HUMSAFAR SF,Ajmer Jn,Rameswaram,Sa,0,0,0,0,0,1,0
3,22140,PUNE HUMSAFAR,Ajni (Nagpur),Pune Jn,Su,0,0,0,0,0,0,1
4,12236,ANVT MDP HUMSFR,Anand Vihar Terminal,Madhupur Jn,Th,0,0,0,1,0,0,0
5,12572,GKP HUMSAFAR EX,Anand Vihar Terminal,Gorakhpur,M Th Sa Su,1,0,0,1,0,1,1
6,12596,GKP HUMSAFAR EX,Anand Vihar Terminal,Gorakhpur,Tu W F,0,1,1,0,1,0,0
