214, Bardoli, 2
215, Udhna Junction (Surat), 0
216, Maninagar, 3
217, Puri, 8
218, Sakhi Gopal, 4
219, Khurda Road Junction, 7
220, Kalupara Ghat, 3
221, Balugaon, 4
222, Khallikot, 3
223, Chatrapur, 3
224, Brahmapur, 4
225, Palasa, 4
226, Srikakulam Road, 4
227, Vizianagaram Junction, 5
228, Bobbili Junction, 2
229, Parvatipuram Town, 2
230, Rayagada, 3
231, Muniguda, 3
232, Kesinga, 4
233, Titlagarh Junction, 5
234, Kantabanji, 3
235, Khariar Road, 3
236, Bagbahra, 2
237, Mahasamund, 2
238, Bhubaneswar, 6
239, Dhenkanal, 2
240, Talcher, 3
241, Angul, 3
242, Boinda, 2
243, Rairakhol, 2
244, Sambalpur Road, 3
245, Sambalpur Junction, 3
246, Hirakud, 3
247, Bargarh Road, 3
248, Balangir Junction, 4
249, Mathura Junction, 9
250, Mathura Cantt., 2
251, Hathras City, 2
252, Hathras Road, 1
253, Sikandra Rao, 2
254, Kasganj Junction, 5
255, Ujhani, 1
256, Budaun, 2
257, Bareilly Junction NER, 2
258, Bareilly City, 4
259, Izzatnagar, 4
260, Bhojipura Junction, 3
261, Pilibhit Junction, 4
262, Puranpur, 3
263, Mailani Junction, 3
264, Gola Gokarannath, 3
265, Lakhimpur, 3
266, Hargaon, 2
267, Sitapur Junction, 5
268, Sidhauli, 3
269, DaliGanj Junction, 5
270, Lucknow City, 4
271, Aishbagh, 6
272, Jaipur Junction, 8
273, Kanakpura, 2
274, Asalpur Jobner, 3
275, Phulera Junction, 5
276, Naraina, 3
277, Tiloniya, 2
278, Kishangarh, 3
279, Madar Junction, 2
280, Ajmer Junction, 6
281, Tumakuru (Tumkur), 0
282, Tiptur, 4
283, Arsikere Junction, 3
284, Birur Junction, 5
285, Davangere, 2
286, Harihar, 3
287, Ranibennur, 3
288, SMM Haveri, 3
289, SSS Hubballi Junction (Hubli), 0
290, Dharwad, 4
291, Londa Junction, 3
292, Belagavi (Belgaum), 0
293, Karad, 3
294, Sirohi Road, 2
295, Sojat Road, 2
296, Beawar, 3
297, Mumbai Central, 5
298, Dadar Western, 7
299, Borivali, 10
300, Chhapi, 2
301, Jawai Bandh, 2
302, Rani, 2
303, Bandra Terminus, 7
304, Ratlam Junction, 7
305, Nimach, 3
306, Chittaurgarh Junction, 5
307, Bhilwara, 4
308, Mavli Junction, 5
309, Ranapratapnagar, 2
310, Mandal, 1
311, Gulabpura, 1
